tweet_id,user_id,user_name,created_at,full_text,retweets,favorite
1362373014080249865,1188798821024722945,Muh_Raihan_P,Thu Feb 18 12:06:52 +0000 2021,"Day 37 of #66daysofdata v2:
Further read on Feature Importance, especially when it comes to tree algorithms. Also getting to know better how to infer them to make further domain analysis.",0,0
1362364346211385351,1361574104483172357,RahilBelim7,Thu Feb 18 11:32:26 +0000 2021,"Day 2 : Today I worked on a project called ""2020 Kaggle ML &amp; DS Survey"" with @KenJee on YouTube and did a lot of analysis in it.

#66daysofdata

https://t.co/L194E4Swe3 https://t.co/HMvqVE1wJv",0,1
1362362828460601344,1319044673080524801,meghansharris,Thu Feb 18 11:26:24 +0000 2021,Day 46 of #66daysofdata. Feeling a bit sick today so taking it easy. Probably going back and forth between my EDA and website design stuff for work.,0,4
1362358346574086145,1345374681008926723,DataLiteracy66,Thu Feb 18 11:08:35 +0000 2021,"Once you validate that a data series is approximately normal, you can benefit from its properties.  Day 46 of #66DaysOfData shows the the power of two functions (PDF &amp; CDF) as we refocus distributions into probabilities. 

#100DaysOfCode #DataScience

https://t.co/jQuxEEGrWL https://t.co/qryFShSXT0",10,7
1362327832353980418,2721077850,ahobeus,Thu Feb 18 09:07:20 +0000 2021,"Day 1 of the #66daysofdata
Learned about lambda functions and context managers in python",0,0
1362316939083743233,23293578,therealjaysueno,Thu Feb 18 08:24:03 +0000 2021,"Day 12 of #66daysofdata with @KenJee_DS . Tonight I learned about cadCad, a Python library for data scientists to model and analyze dynamical systems. (That was a mouthful)

It's a skill set that's in demand and new. Here's a link to the free course: https://t.co/A38iP7rN56",0,0
1362311586040467460,2527930848,joao96santos,Thu Feb 18 08:02:47 +0000 2021,"40 / #66DaysOfData
Listened to Adrien Treuille (CEO Stremlit) on KNN EP 35

https://t.co/MKwfII9wcM",0,2
1362307190975963136,1059790562587492357,AvinShah_,Thu Feb 18 07:45:19 +0000 2021,"Day 45 of #66DaysOfData 2.0 with 
@KenJee_DS

 Continued on A/B Testing  
     --Designing an Experiment",0,2
1362293413849227264,397272525,shatandv,Thu Feb 18 06:50:34 +0000 2021,"Plan for Day 46 of #66DaysOfData!
- Do 1 @hackerrank Python and SQL problem,
- Finish @3blue1brown's linear algebra series,
- Complete units 2-3 of @DataCamp Time Series Manipulation,
- Implement Linear Regression from scratch.
Yesterday was a tough day, let's pull through today.",0,3
1362292834645266432,397272525,shatandv,Thu Feb 18 06:48:16 +0000 2021,"Day 45 of #66DaysOfData summary:
- Didn't do @hackerrank,
- Learned about the change of basis and eigen-things from @3blue1brown,
- Didn't work on the 2nd unit of @DataCamp
 Time Series Manipulation,
- Didn't implement Linear Regression,
- Spent the whole day with SQLAlchemy...",0,2
1362292249975873540,1159830350102781953,KenJee_DS,Thu Feb 18 06:45:57 +0000 2021,"Day 45 of the #66DaysOfData Round 2! 

Watched another great video on StyleGAN2 ADA by @jeffheaton! Cute puppy generation here I come! 

https://t.co/CaFOjrhd4T",1,15
1362275798984445954,1230211224337432576,aaronpetryio,Thu Feb 18 05:40:34 +0000 2021,"Day 45 of #66DaysOfData:
- Downloaded more Survivor data for the Survivor analysis project
- Listened to @KenJee_DS's chat with @myelbows on Ken's Nearest Neighbors (can't wait to create my first app!)",0,4
1362274804888334340,1310356801909522433,_shreejaya,Thu Feb 18 05:36:37 +0000 2021,"Day 41 of #66daysofdata by @KenJee_DS
 
Worked on hyperparameter tuning &amp; model validation chapter from the Python Data Science Handbook.",1,2
1362267462436200452,1023818495471964160,NMashinchi,Thu Feb 18 05:07:27 +0000 2021,"Update on the #66daysofdata  challenge.

Day 45 Wednesday - February 17th: Listened to the latest @TDataScience podcast during my lunch break. Really enjoyed listening about the future role of AI systems in democracy and government. Great episode 👍🏽 #datascience #ai",1,0
1362264134960766985,1208077315747528704,SiphuLangeni,Thu Feb 18 04:54:14 +0000 2021,"Day 48: #MAE or #RMSE? Both measure average prediction errors in same unit as target variable. RMSE penalizes large errors. MAE easier to compare samples of different sizes. Both super easy using #sklearn #python

#100DaysOfCode #66DaysOfData #DataScience #ModelMetrics #BWIAI",17,14
