tweet_id,user_id,user_name,created_at,text,full_text,retweets,favorite
1313773944399425536,1164170904701734912,dumitruxx,Wed Oct 07 09:31:31 +0000 2020,"Day 37 of #66DaysOfData! 

""Machine Learning"" course by AndrewYNg on #Coursera.

Part of the course:
- Week10/Large… https://t.co/U4KPjdBVjt","Day 37 of #66DaysOfData! 

""Machine Learning"" course by AndrewYNg on #Coursera.

Part of the course:
- Week10/Large Scale Machine Learning(2/2)

#MachineLearning #DataScience #AI",1,19
1313773058365116416,2449333486,neeteshsharma01,Wed Oct 07 09:28:00 +0000 2020,So this gentleman just gave me some insight for having lack of knowledge about machines as a mechanical engineer de… https://t.co/sna8yyOvcF,So this gentleman just gave me some insight for having lack of knowledge about machines as a mechanical engineer degree holder. #66daysofdata #ANALYSIS #machines https://t.co/LfVTqcL2vG,0,2
1313772518419832832,1303725429132464128,rampand25356222,Wed Oct 07 09:25:51 +0000 2020,Day 23 of #66daysofdata. Continuing with the same project.,None,0,7
1313765681733697537,1302918771355652096,GeorgeKamp5,Wed Oct 07 08:58:41 +0000 2020,"Day 29 of #66daysofdata 
More statistics (Chi-Square Test, Simple and Multiple linear regression theory) today. I a… https://t.co/t76OMlBEjL","Day 29 of #66daysofdata 
More statistics (Chi-Square Test, Simple and Multiple linear regression theory) today. I also did some applications with scikit-learn",1,14
1313764303489695745,1137616469729132544,DanielOhaegbula,Wed Oct 07 08:53:13 +0000 2020,"Day 4 of #66daysofdata
PC caught virus due to the windows defender was not on so I'll put it on hold but I'll be re… https://t.co/wWIvYuKaw2","Day 4 of #66daysofdata
PC caught virus due to the windows defender was not on so I'll put it on hold but I'll be reading only
@kennethjuniour @priscillachizue @KenJee_DS",0,4
1313761504429256704,1302396348931756032,DeeDanner_DS,Wed Oct 07 08:42:05 +0000 2020,"Day 30 of #66daysofdata  

reviewed while and for loops
realized  I had one slight misunderstanding of  ""continue""

#BetterThanYesterday",None,0,2
1313760861400358912,287494361,HakeemAmir,Wed Oct 07 08:39:32 +0000 2020,@KenJee_DS Day 37 of #66daysofdata. Continuing with Matplotlib features. Visiting their official website to learn more.,None,0,4
1313754361449779200,1300541186864590848,trainandtest,Wed Oct 07 08:13:42 +0000 2020,"#QuestionOfTheDay Which are the best platforms to learn Data Science / Machine Learning? 

#Python #Data… https://t.co/rC8s4RHdDZ","#QuestionOfTheDay Which are the best platforms to learn Data Science / Machine Learning? 

#Python #Data #DataScience #MachineLearning #66daysofdata #100DaysOfMLCode",8,9
1313750121973256192,1301025989359788033,AMuktineni,Wed Oct 07 07:56:52 +0000 2020,"Day 35 of #66daysofdata
@KenJee_DS

Made some progress on London Housing case study. Attended 2 Data Science events at an online conference.",None,0,16
1313748642927464448,22637324,pratiksha__,Wed Oct 07 07:50:59 +0000 2020,Today I carried on with exploring Liverpool's premier league data to look at the mean number of goals scored at Goo… https://t.co/QqI4g1gymf,Today I carried on with exploring Liverpool's premier league data to look at the mean number of goals scored at Goodison Park. Results suggest it's gonna be a 1-1 but this season shows that anything can happen 🙄🤔#66DaysOfData,0,3
1313745819414269954,1302933699948875776,Mkat38633157,Wed Oct 07 07:39:46 +0000 2020,"Day 28-29 of #66daysofdata
- I (only slightly) improved my score on the titanic competition (I think I will start r… https://t.co/5838jgCYuN","Day 28-29 of #66daysofdata
- I (only slightly) improved my score on the titanic competition (I think I will start reading other notebooks to get some ideas on how to improve)
- Read a few more articles on #towardsdatascience (pandas tricks, gradient descent with scikit-learn)",0,18
1313743195331674113,53420382,SaumyaPatel,Wed Oct 07 07:29:20 +0000 2020,"THINK what are you CODING, &amp;
CODE what you THOUGHT !!!

#100DaysOfCloud #DataScience
#javascriptdeveloper… https://t.co/mmOdD3ieYR","THINK what are you CODING, &amp;
CODE what you THOUGHT !!!

#100DaysOfCloud #DataScience
#javascriptdeveloper #javascript #100DaysOfCode
#CodeNewbie #Python #Data
#66daysofdata #ArtificialIntelligence
#Azure #Java #android #javascript30 #Motivation  #cplusplus #code #computing #AI",24,21
1313742493876322304,53420382,SaumyaPatel,Wed Oct 07 07:26:33 +0000 2020,"NOONE KNOWS ENTIRE LANGUAGE, BUT
ONE SHOULD BE ABLE TO ADDRESS THE PROBLEM !!!

#100DaysOfCloud #DataScience… https://t.co/z47xvcX33G","NOONE KNOWS ENTIRE LANGUAGE, BUT
ONE SHOULD BE ABLE TO ADDRESS THE PROBLEM !!!

#100DaysOfCloud #DataScience
#javascriptdeveloper #javascript #100DaysOfCode
#CodeNewbie #Python #Data
#66daysofdata #ArtificialIntelligence
#Azure #Java #android #javascript30 #Motivation #cplusplus",15,12
1313735167719223296,22637324,pratiksha__,Wed Oct 07 06:57:26 +0000 2020,Been inspired by @KenJee_DS to start #66DaysOfData and also tonight I begin the Code First Girls' Databases and SQL… https://t.co/NcWatXpIFv,"Been inspired by @KenJee_DS to start #66DaysOfData and also tonight I begin the Code First Girls' Databases and SQL course 🤗

https://t.co/TYeTA27dnE",0,5
1313731102142418944,360668611,daniellabrito26,Wed Oct 07 06:41:17 +0000 2020,Day 15 - Started my own side understanding of Pandas concepts with StackOverflow dataset- on a survey answered by d… https://t.co/87eN7YqmXv,"Day 15 - Started my own side understanding of Pandas concepts with StackOverflow dataset- on a survey answered by developers of different countries. 
🔹Understanding which country has which most popular social media sites
🔷Pattern in salary ,workdays among them.#66daysofdata",0,10
1313729517165264896,360668611,daniellabrito26,Wed Oct 07 06:34:59 +0000 2020,"Day 14 - Started using Matplotlib for Data Visualisations .  Covered topics - Bar graph, scatterplots,line, pie and… https://t.co/dQMCEtXPU6","Day 14 - Started using Matplotlib for Data Visualisations .  Covered topics - Bar graph, scatterplots,line, pie and histograms. Box plots and subplots. Used a case study on diamonds to deeper understand how to plot each of these . Have to find time to do more . #66daysofdata",0,8
1313727298236022784,1253131873133441024,jdiazin,Wed Oct 07 06:26:10 +0000 2020,"Day 17 - 26 of #66daysofdata
* Machine Learning Foundations (U Washington) - Week 5
* Currently doing an EDA for a… https://t.co/zPrFNrWFad","Day 17 - 26 of #66daysofdata
* Machine Learning Foundations (U Washington) - Week 5
* Currently doing an EDA for a #blasting DB of an Open Pit mine. I want to understand what is the behavior of some key operational mining variables according to different types of explosives https://t.co/K2wMk5zFk0",0,7
1313726067740487680,1301208059486842882,ceeezthedata,Wed Oct 07 06:21:17 +0000 2020,"🗓 Day 35 of #66daysofdata 

Read the Essential Python Libraries section on NumPy and pandas from Python for Data An… https://t.co/mJfU2oWnpn","🗓 Day 35 of #66daysofdata 

Read the Essential Python Libraries section on NumPy and pandas from Python for Data Analysis by @wesmckinn 

#Python #DataAnalysis #DataScience",6,2
1313723267681669120,1266599735881687040,ChinWuChen1,Wed Oct 07 06:10:09 +0000 2020,Day 20 | #66daysofdata - learned about vectorizing features in Spark MLlib and formatting data for training. Still… https://t.co/04cbS6rLN1,Day 20 | #66daysofdata - learned about vectorizing features in Spark MLlib and formatting data for training. Still vague and have to review it again tomorrow. Also kind of getting toward a project idea. 🤔,0,9
1313708031373271042,1230211224337432576,aaronpetryio,Wed Oct 07 05:09:36 +0000 2020,"Day 36 of #66DaysOfData:
- Watched @dataleaptech's ""Among Us: 999 IQ Tactic"" video
- Started EDA on NFL play-by-pla… https://t.co/6Y1hLNtxZ2","Day 36 of #66DaysOfData:
- Watched @dataleaptech's ""Among Us: 999 IQ Tactic"" video
- Started EDA on NFL play-by-play data to see the impact weather has on game situations 
- Continued to listen to ""Python Data Science"" on Audible

I want to find some Seattle data sci. groups!",1,8
1313706914748874754,1289157602929045507,orsusconsulting,Wed Oct 07 05:05:10 +0000 2020,"Identify the logo?
Type your answers in the comment session. 
#logo #design #3D #Recruitment #JobSearch #autism… https://t.co/ILvau20nH2","Identify the logo?
Type your answers in the comment session. 
#logo #design #3D #Recruitment #JobSearch #autism #RetailTuesday #Retail #ResidentEvil #Airdrop #interiordesign #service #a11y #66daysofdata #100DaysOfCode #architecture #ArtistOfIndonesia #5G #accessibility #AI https://t.co/wWo5MsrPwu",9,8
1313706565417885696,1262564081699086341,ImportData1,Wed Oct 07 05:03:47 +0000 2020,"📅 Day 37 of #66daysofdata

Read pg.101-106 of ESL
- Linear Discriminant Analysis
- Logit transformation… https://t.co/4EmsrfqSML","📅 Day 37 of #66daysofdata

Read pg.101-106 of ESL
- Linear Discriminant Analysis
- Logit transformation

https://t.co/lQAlZd4e66

#Statistics #MachineLearning #DataScience #Data #Analytics #DataAnalytics #ImportData",1,4
1313704024017838080,1078346940033716224,tryextro,Wed Oct 07 04:53:41 +0000 2020,"Visualising different distributions.
#MachineLearning #66daysofdata #100DaysOfMLCode https://t.co/InhCljMmor",None,1,3
1313699830770937857,1290013787819593735,math3mantic_,Wed Oct 07 04:37:01 +0000 2020,"Summary of the 5th week of #66DaysOfData: @KenJee_DS 

During the last two weeks I:

- Finished an Exploratory Data… https://t.co/AP3WgVd5cT","Summary of the 5th week of #66DaysOfData: @KenJee_DS 

During the last two weeks I:

- Finished an Exploratory Data Analysis Project by Coursera

- Worked on Kaggle's famous Titanic: Machine Learning from Disaster data

- Started on HackerRank's 10 Day Statistics challenges

1/n",1,3
1313699580911869952,1206593820139245569,KhushbooRPatel,Wed Oct 07 04:36:02 +0000 2020,Day 1: 2 hrs of python and 15 hours of running around 2 yr old 😜 I seriously have to work on the ratio #66daysofdata,None,0,1
1313691891674693633,211289215,IamTonyAK,Wed Oct 07 04:05:28 +0000 2020,"#66DaysOfData days 25 &amp; 26. Continued trying to optimize features, tested with XGBoost and compared different class… https://t.co/eIz617gWVh","#66DaysOfData days 25 &amp; 26. Continued trying to optimize features, tested with XGBoost and compared different classification metrics (f1, f-beta, recall, multiple confusion matrix).",0,2
