tweet_id,user_id,user_name,created_at,text,full_text,retweets,favorite
1320272848745803777,1108597836755755009,maisdev,Sun Oct 25 07:55:51 +0000 2020,Did some exercises from udemy python course. #pythonForMachineLearning R2D4 #100DaysOfMLCode D54 #66daysofdata,None,0,0
1320263053359910912,3229980963,FmFrancoise,Sun Oct 25 07:16:55 +0000 2020,"kaggle via NodeXL https://t.co/eneHJyGWcG
@kaggle
@kierisi
@fchollet
@ml_tweet_bot
@fmfrancoise
@statsbylopez… https://t.co/ojRtFVeIj4","kaggle via NodeXL https://t.co/eneHJyGWcG
@kaggle
@kierisi
@fchollet
@ml_tweet_bot
@fmfrancoise
@statsbylopez
@tankazunori0914
@blkhwk0ps
@0verfit
@furudatek

Top hashtags:
#kaggle
#rstats
#datascience
#machinelearning
#66daysofdata
#100daysofcode
#python
#ai /",1,2
1320260160561053696,285723440,geekanvesh,Sun Oct 25 07:05:26 +0000 2020,Immense learning and great networking at #DSGOVirtual #Hackathon. We analysed air quality of California as use case… https://t.co/ltpxSiFSGe,Immense learning and great networking at #DSGOVirtual #Hackathon. We analysed air quality of California as use case and our team was judged with best #model #award #66daysofdata #StillSoMuchToLearn,0,1
1320258408709197825,1303725429132464128,rampand25356222,Sun Oct 25 06:58:28 +0000 2020,"Day 38,39 of #66daysofdata. Read chapter chapter 6 and 7 of feature engineering by Alice Zheng, I would highly reco… https://t.co/WHWD32Zas6","Day 38,39 of #66daysofdata. Read chapter chapter 6 and 7 of feature engineering by Alice Zheng, I would highly recommend this book if u r facing trouble with handling features as me😅. This covers topics in a way that newbies can understand and also can apply.",0,1
1320247344592539648,211289215,IamTonyAK,Sun Oct 25 06:14:30 +0000 2020,#66DaysOfData Day 44: Two thirds of the way there! Met with an ex-colleague who just started as a machine learning… https://t.co/gv5Nhakuq2,"#66DaysOfData Day 44: Two thirds of the way there! Met with an ex-colleague who just started as a machine learning engineer. Discussed the interview process, his new role, the challenges they're trying to solve and models they use.",1,1
1320237821656006657,1291114285507186690,jaimedatalatte,Sun Oct 25 05:36:40 +0000 2020,"D52. #66DaysofData 

- kept working on this brazilian e-commerce dataset. The dataset is super extensive, but I’m a… https://t.co/RfvtKFxsQg","D52. #66DaysofData 

- kept working on this brazilian e-commerce dataset. The dataset is super extensive, but I’m also thinking that there’s no chance I would’ve been able to tackle this on day 1. Feeling the progress today.",0,3
1320236744185421824,1290013787819593735,math3mantic_,Sun Oct 25 05:32:23 +0000 2020,"Day 53 of #66daysofdata: Today, I finished Chapter 6: Decision Trees of Hands-on ML2 book by @aureliengeron and pre… https://t.co/2kroG5PfJW","Day 53 of #66daysofdata: Today, I finished Chapter 6: Decision Trees of Hands-on ML2 book by @aureliengeron and prepared a slideshow to present in a weekly zoom meeting tomorrow. I have been using JN extensions for a while; but just discovered the single most useful one. RISE.",0,2
1320231455952338944,1247769181002403841,ahanawrites,Sun Oct 25 05:11:22 +0000 2020,Day 54 of #66daysofdata: Adam (Adaptive moment estimation) is another very popular adaptive learning rate method. I… https://t.co/WjvF9idkeV,"Day 54 of #66daysofdata: Adam (Adaptive moment estimation) is another very popular adaptive learning rate method. In addition to storing an exponentially decaying average of past squared gradients as in RMSprop, it also maintains an exponentially decaying average 1/2",0,1
1320230740886507525,1301208059486842882,ceeezthedata,Sun Oct 25 05:08:31 +0000 2020,"🗓 Day 53 of #66daysofdata 
#DataAnalytics #DataScience 

Light work today viewed this informative video https://t.co/j6JUmWOAR6",None,0,1
1320228020439797760,1300541186864590848,trainandtest,Sun Oct 25 04:57:43 +0000 2020,"#QuestionOfTheDay How to deal with imbalanced Data sets? 

#MachineLearning #Data #DataScience #66daysofdata #100DaysOfCode #100DaysOfMLCode",None,3,6
1320217866621235200,628182698,FelixNicholasW,Sun Oct 25 04:17:22 +0000 2020,"Day 55 of #66daysofdata trying to optimize my model (used car price prediction), then read about logistic regression and decision tree later",None,0,2
1320217442380111872,1550112745,DebdutiS,Sun Oct 25 04:15:41 +0000 2020,"DAY55 of #66daysofdata . Still working on the hackathon. Lots of learning and teamwork and brainstorming. Fun! Oh,… https://t.co/v0yXUpfEPP","DAY55 of #66daysofdata . Still working on the hackathon. Lots of learning and teamwork and brainstorming. Fun! Oh, and I also learnt the basics of Git, thanks to @KenJee_DS 's video and a free course on Datacamp.",0,3
