tweet_id,user_id,user_name,created_at,full_text,retweets,favorite
1381343032751046658,32453704,anyachocolat,Sun Apr 11 20:26:57 +0000 2021,"Day 14 of #66DaysOfData:
- Skillfactory course
- #LH2L course
- Learned about bytewise operations
- Read about different string formatting practices. Do you prefer to use %, str.format, f'str' or template?",0,0
1381338886241157124,1282311789464760321,HeqiqetEhmedova,Sun Apr 11 20:10:29 +0000 2021,"Day 4 of #100DaysOfCode ; #66daysofdata 
   ✔️Did a few sections of courses
   ✔️Reading : ‘Getting Started with Data Science’
   ✔️and few coding practice in #hackerrank",10,5
1381336589641646083,1300492664308146176,MarkusM99098101,Sun Apr 11 20:01:21 +0000 2021,"Day 40 of  #66DaysOfData r2:

read the first section of ch 6 in Python Machine Learning (streamlining workflows with pipelines and k-fold cross-validation to assess model performance). The rest of the day I worked on my portfolio website, which is quiet time consuming.",0,5
1381326847527550983,324583975,georgekanellos,Sun Apr 11 19:22:38 +0000 2021,"Days 16-18(R2) of #66daysofdata by @KenJee_DS

Found the next project! I started working with a kaggle dataset about NBA data! Step 1, basic EDA: PCA for dim reduction and KMeans for clustering 🤩🛫",0,1
1381306986067750918,731856877139558400,ABYA80,Sun Apr 11 18:03:43 +0000 2021,"R2: #66daysofdata with @KenJee_DS 

Day 27: Had fun today building a basic Pong game using #Python turtle module. Still having trouble adding the sound when it hits the border or paddle.

*I think @neuralink's 🐒 plays better than me 😂 https://t.co/AcvvDQuTAT",1,14
1381304310680543232,1331398329977032707,aloknag_DS,Sun Apr 11 17:53:05 +0000 2021,"Day 20 of #66DaysOfData Round 2 :

*More of K-Nearest Neighbours. 
- KNN Classifier and Regressor estimators from sklearn
- methods associated i.e. score, predict, predict_proba from documentation. 
- effect of hyperparameter tuning in underfitting and overfitting of KNN.",0,8
1381300897590829056,1059200207756423170,Aamna__Suhail01,Sun Apr 11 17:39:31 +0000 2021,"#66daysofdata 
Day 22
@KenJee_DS

@coursera 
Introduction to Data Science 
Week 2
Intro to Pandas, Series Datastructure and Quering a Series",0,4
1381268515638763525,1363855621628465153,korasaju_a,Sun Apr 11 15:30:51 +0000 2021,"Day 30 of #66DaysofData with @KenJee_DS 

Today, I:
1 Finished all the lectures on Inferential Statistics (Fundamentals + Confidence Intervals + Hypothesis Testing)
2 Watched Ken Jee’s vid on “Why You Probably Won’t Become a Data Scientist” — #grit, I’ll continue to transcend.",0,5
1381264213012668416,1322620958327255040,Datavisz,Sun Apr 11 15:13:45 +0000 2021,Day 40 of #66daysofdata : Spent some time on kaggle TPS. Got introduced to ensemble techniques in a kaggler notebook. Need to spend some time getting a grasp of these.,0,2
1381230743590903810,1137782574036635649,thedataprof,Sun Apr 11 13:00:45 +0000 2021,"Hi friends, the fourth episode of the #free #Rtutorial on the @thedataprof @YouTube channel is released and its on creating variables and lists in #R
https://t.co/kTCp2rKMf5
#66daysofdata",0,4
1381221576910106624,1007227234229161984,thedatacrack,Sun Apr 11 12:24:20 +0000 2021,"What problem will my blood sugar tracker help address?

Putting into action the Who-What-Where-Why technique, I frame my problem statement.

https://t.co/oJDI5Q7W98

Looking forward to including the project now as a part of my #66daysofdata journey!",0,0
1381166209819938816,397272525,shatandv,Sun Apr 11 08:44:19 +0000 2021,"Day 96 of #66DaysOfData:
- Learned general info about different ETL tools in Python,
- Learned about the lazypredict library - convenient,
- Worked on a scraper a little bit.",0,12
1381134085351964673,1324652185964204033,meyke9976,Sun Apr 11 06:36:40 +0000 2021,"Day 94 of #66daysofdata by @KenJee_DS 
I watched ""Coded Bias""  yesterday. An easy-to-watch intro on the bias of algorithms. 
Also continued working on the disaster tweets. 
https://t.co/g419Fi6Jcb",0,6
1381063282467897349,1266599735881687040,ChinWuChen1,Sun Apr 11 01:55:20 +0000 2021,"D24 #66daysofdata 
- continued on Hands-on ML chapter 3, being less confused about confusion matrix now 🤣 plus understanding precision/recall 💪",0,11
1381058485501091842,209191879,bhatnagarkush,Sun Apr 11 01:36:16 +0000 2021,"Day 68/R2 #66daysofData : Understanding @awscloud Kinesis Family and it's role in Data Engineering
#MachineLearning #AWS",3,2
